White Player,Black Player,White Depth,Black Depth,White Turn Time,Black Turn Time,Number of Moves,Winning Player
Random AI,Minimax AI,,3.0,0.0,15.721840620040894,76,black
Random AI,Minimax AI,,3.0,0.0026090145111083,12.16838002204895,112,black
Random AI,Minimax AI,,3.0,0.0035037994384765,17.349732637405396,140,black
Random AI,Minimax AI,,3.0,0.0,6.884381294250488,52,black
Random AI,Minimax AI,,3.0,0.0020005702972412,7.910617113113403,56,black
Random AI,Minimax AI,,3.0,0.0009996891021728,3.01530385017395,20,black
Random AI,Minimax AI,,3.0,0.0025877952575683,24.34460687637329,172,black
Random AI,Minimax AI,,3.0,0.0019962787628173,22.95438313484192,164,black
Random AI,Minimax AI,,3.0,0.0009992122650146,9.110076665878296,58,black
Random AI,Minimax AI,,3.0,0.0009996891021728,20.9919490814209,309,draw
Random AI,Minimax AI,,3.0,8.96453857421875e-05,8.899625778198242,76,black
Random AI,Minimax AI,,3.0,0.0010006427764892,9.855052947998049,68,black
Random AI,Minimax AI,,3.0,0.0065007209777832,35.30814027786255,623,draw
Random AI,Minimax AI,,3.0,0.0009984970092773,16.60328483581543,144,black
Random AI,Minimax AI,,3.0,0.0149829387664794,45.91426134109497,705,draw
Random AI,Minimax AI,,3.0,0.0010390281677246,22.989691019058228,198,black
Random AI,Minimax AI,,3.0,0.000518798828125,17.417418718338013,146,black
Random AI,Minimax AI,,3.0,0.0009996891021728,11.205315589904783,76,black
Random AI,Minimax AI,,3.0,0.0,3.91012978553772,42,black
Random AI,Minimax AI,,3.0,0.0075187683105468,43.099876165390015,290,draw
Random AI,Minimax AI,,3.0,0.001136302947998,6.489096641540527,62,black
Random AI,Minimax AI,,3.0,0.0010004043579101,3.2684829235076904,28,black
Random AI,Minimax AI,,3.0,0.0001113414764404,5.5980188846588135,44,black
Random AI,Minimax AI,,3.0,0.003507375717163,31.34879994392395,324,black
Random AI,Minimax AI,,3.0,0.0,0.9934661388397216,10,black
Random AI,Minimax AI,,3.0,0.003688097000122,37.30129051208496,265,white
Random AI,Minimax AI,,3.0,0.0020017623901367,20.222163915634155,148,black
Random AI,Minimax AI,,3.0,0.0,3.92809009552002,30,black
Random AI,Minimax AI,,3.0,0.0010004043579101,19.87844395637512,128,black
Random AI,Minimax AI,,3.0,0.0,5.128500938415527,34,black
Random AI,Minimax AI,,4.0,0.0010004043579101,42.26043152809143,18,black
Random AI,Minimax AI,,4.0,0.0135855674743652,1140.8312063217163,432,black
Random AI,Minimax AI,,4.0,0.0,139.12453866004944,52,black
Random AI,Minimax AI,,4.0,0.002000093460083,413.21393513679504,132,black
Random AI,Minimax AI,,4.0,0.0,30.96813440322876,22,black
Random AI,Minimax AI,,4.0,0.0,403.9181056022644,130,black
Random AI,Minimax AI,,4.0,0.0,69.36085748672485,36,black
Random AI,Minimax AI,,4.0,0.0,192.4546272754669,62,black
Random AI,Minimax AI,,4.0,0.001000165939331,207.19915461540225,88,black
Random AI,Minimax AI,,4.0,0.0045142173767089,190.73609137535087,122,black
Random AI,Minimax AI,,4.0,0.0020012855529785,337.83200001716614,124,black
Random AI,Minimax AI,,4.0,0.0025851726531982,343.2834062576294,84,black
Random AI,Minimax AI,,4.0,0.0080251693725585,629.2818665504456,290,black
Random AI,Minimax AI,,4.0,0.0095069408416748,276.8936743736267,182,draw
Random AI,Minimax AI,,4.0,0.0,12.37498950958252,12,black
Random AI,Minimax AI,,4.0,0.0106022357940673,627.3599848747253,320,black
Random AI,Minimax AI,,4.0,0.0010111331939697,130.41919898986816,52,black
Random AI,Minimax AI,,4.0,0.0010020732879638,58.25239658355713,38,black
Random AI,Minimax AI,,4.0,0.00950288772583,462.041424036026,268,black
Random AI,Minimax AI,,4.0,0.0,60.46199154853821,30,black
Random AI,Minimax AI,,4.0,0.0020835399627685,280.8019435405731,94,black
Random AI,Minimax AI,,4.0,0.0010006427764892,121.39880847930908,48,black
Random AI,Minimax AI,,4.0,0.0020008087158203,198.7486708164215,66,black
Random AI,Minimax AI,,4.0,0.0015053749084472,245.94022011756897,90,black
Random AI,Minimax AI,,4.0,0.0031235218048095,349.74478936195374,132,black
Random AI,Minimax AI,,5.0,0.0115454196929931,1948.8199899196625,348,black
Random AI,Minimax AI,,5.0,0.0110070705413818,2732.364845514297,220,black
Random AI,Minimax AI,,5.0,0.0,419.5774195194245,30,black
Random AI,Minimax AI,,5.0,0.0010004043579101,275.508003950119,20,black
Random AI,Minimax AI,,5.0,0.0025780200958251,1298.9291920661926,73,draw
Random AI,Minimax AI,,5.0,0.0010950565338134,558.966231584549,48,black
Random AI,Minimax AI,,5.0,0.0,149.96588778495789,10,black
Random AI,Minimax AI,,5.0,0.0,73.31384181976318,8,black
Random AI,Minimax AI,,5.0,0.0009994506835937,430.3528680801392,36,black
Random AI,Minimax AI,,5.0,0.0,644.6643233299255,32,black
Random AI,Minimax AI,,5.0,0.001002550125122,1881.58584356308,134,black
Random AI,Minimax AI,,5.0,0.002077579498291,1760.3252506256104,110,black
Random AI,Minimax AI,,5.0,0.0010743141174316,1472.1532151699066,88,black
Random AI,Minimax AI,,5.0,0.0050625801086425,926.7295606136322,114,black
Minimax AI,Stockfish AI,3.0,5.0,3.2737269401550293,2.354967832565308,32,black
Random AI,Minimax AI,,5.0,0.0,701.1950602531433,46,black
Random AI,Minimax AI,,5.0,7.581710815429688e-05,244.5122821331024,36,black
Random AI,Minimax AI,,5.0,0.0103120803833007,3147.23643708229,287,draw
Random AI,Minimax AI,,6.0,0.0009999275207519,12878.812105894089,246,black
Random AI,Minimax AI,,6.0,0.0069994926452636,17071.332281589508,304,black
